trait,simmap,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4
stemarea,45,app,1.37525878400919,1.44127727071167,1.06240982777519e-09,4.67583543586396e-28,1.90852513792654,1.90852513792654,1.90852513792654,1.90852513792654,-1.37009242162488,2.49055413498549,-5.04582486735019e-15,-8.84800666762039e-33
stemarea,46,app,0.0623613601514055,0.0549361509069108,0.0522740864315318,0.0499322666723387,0.538744428192732,0.351816961958597,0.238918608106594,0.149466024809824,-1.15531301986283,8.17687017543552,-1.47008102675375,-8.59358066549172e-06
stemarea,47,app,3.97173057783877,0.113176315521008,0.063964749989535,0,1.45296319840988,1.45296319840988,1.45296319840988,1.45296319840988,0.342792513493113,0,0,0
stemarea,48,app,0.101010467371829,0.101010467371829,0.101010467371829,0.101010467371829,0.601200526194442,0.496965010323961,1.00000000003489e-09,3.48931314168574e-20,-1.4188832319308,4.49606412399274,0.463652286029876,-7.84870380121036e-27
stemarea,49,app,0.0349764708142309,0.0349764708142309,0.0349764708142309,0.0349764708142309,0.569819345948023,0.237872477057875,1.00000000000004e-09,3.82102553194164e-23,-1.60230733870159,11.5879193780388,-2.00556684971472,-2.83197600802402e-30
stemarea,50,app,0.0421499827253538,0.0421499827252786,0.0421499827251615,0.0421499827251615,0.559322321739845,0.31367737872315,1.00105612764911e-09,1.05612765024965e-12,-1.35495893986695,10.2787572377375,0.251679297928512,-2.02989741702615e-20
stemarea,51,app,0.100766380577416,0.0941534137404356,0.0961596660433583,0.0913415006000484,0.714555596207971,0.917030902029995,0.132066868397208,0.124172170410733,-1.59783772302774,4.62241618335465,0.138897872465734,-0.000144312665936457
stemarea,52,app,3.4987874036942,0.018829879757804,1.66715504666778e-09,0,0.244178264076186,0.244178264076186,0.244178264076186,0.244178264076186,-1.82352067704664,0,0,0
stemarea,53,app,3.40890484172286,0.00862671603676196,6.90828593619521e-08,0,7.99638060054384,7.99638060054384,7.99638060054384,7.99638060054384,-3.08188690469463,0,0,0
stemarea,54,app,0.0877891652568089,0.0877891652568089,0.0877891652568089,0.0877891652568089,0.715764772143826,0.480633504277763,1.0000000000009e-09,9.01425610598654e-22,-1.45058423368795,4.39081137998819,-1.59903426697854,-7.22846205743515e-26
stemarea,55,app,3.57935467883423,0.0650517364422614,9.50778698923936e-07,0,0.0124644996818642,0.0124644996818642,0.0124644996818642,0.0124644996818642,-1.85097319858064,0,0,0
stemarea,56,app,0.0153479494605895,0.0153479494605895,0.0153479494605895,0.0153479494605895,0.475293174916254,0.32809811287324,1.00000000000063e-09,6.26026604442629e-22,-1.53280381872205,20.6947949015468,1.34311116168744,-1.56400155969405e-26
