variable,BM1,BMS,OU1,OUM,OUMV,OUMA,OUMVA,best,trait
stemarea,297.250987954723,298.522484004147,299.308515082554,293.646425849728,300.20382966117,296.779154907351,-2714.18750820804,OUMVA,Leaf.Structure
stemarea,297.250987954723,302.806719159642,299.308515082554,295.836194079665,302.9354824323,303.032485918609,-2227.45716480688,OUMVA,Leaf.Structure
stemarea,297.250987954723,297.333650562395,299.308515082554,292.426047565127,294.375504468248,-2508.71609314608,-2660.82289053841,OUMVA,Leaf.Structure
stemarea,297.250987954723,301.777312617486,299.308515082554,296.201129958325,303.071616103242,-2402.30565104237,285.31601933615,OUMA,Leaf.Structure
stemarea,297.250987954723,307.639574557334,299.308515082554,302.441437988721,309.401739611331,302.525328262887,308.647366264311,BM1,Leaf.Structure
stemarea,297.250987954723,299.651440874247,299.308515082554,293.7025236425,300.749529095708,295.737817491039,281.620632807906,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.366480680039,299.308515082554,301.078930489305,307.356941502197,302.38311311354,304.529353708253,BM1,Leaf.Structure
stemarea,297.250987954723,298.168915283014,299.308515082554,303.141487910115,298.192335552222,-2478.44173103564,305.438567983082,OUMA,Leaf.Structure
stemarea,297.250987954723,292.727922620624,299.308515082554,301.353221960971,289.062310504937,-4179.80272275229,-2277.40001441205,OUMA,Leaf.Structure
stemarea,297.250987954723,304.930806321313,299.308515082554,300.754068164496,306.930512610646,-3848.81934656302,-3158.90025654491,OUMA,Leaf.Structure
stemarea,297.250987954723,304.405664919811,299.308515082554,300.561849212925,306.937188008133,302.777677938135,-1685.31600939721,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.598255147253,299.308515082554,297.247119499813,294.079769876112,297.898536005466,-2133.01774282007,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.511769526089,299.308515082554,296.400524619645,293.920639797648,-5422.76642801791,-2911.45917552162,OUMA,Leaf.Structure
stemarea,297.250987954723,306.517829276074,299.308515082554,301.876458124996,307.693810593741,308.905615053459,305.975148313142,BM1,Leaf.Structure
stemarea,297.250987954723,301.676818210322,299.308515082554,296.612081501377,304.045965170927,-1942.65059415623,-2729.97737004951,OUMVA,Leaf.Structure
stemarea,297.250987954723,299.22743375377,299.308515082554,293.738197420481,298.274011285639,297.133681154508,-2869.42911376858,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.121195445772,299.308515082554,302.775940352431,304.069333305195,309.405248304378,308.21435820271,BM1,Leaf.Structure
stemarea,297.250987954723,301.834051814913,299.308515082554,296.657521820873,302.032155820083,-4627651.15159737,298.329043408489,OUMA,Leaf.Structure
stemarea,297.250987954723,303.293080040826,299.308515082554,302.180370561268,304.569190208149,305.27971737155,312.253435276348,BM1,Leaf.Structure
stemarea,297.250987954723,296.898014227149,299.308515082554,290.080793157646,293.734578213122,-2587.03333454211,295.147496911129,OUMA,Leaf.Structure
stemarea,297.250987954723,306.806871994571,299.308515082554,301.276368563046,306.206174979272,299.545444214044,291.572285259423,OUMVA,Leaf.Structure
stemarea,297.250987954723,309.648344709005,299.308515082554,304.476296282041,311.790840969052,-3183.93500369778,311.182015903301,OUMA,Leaf.Structure
stemarea,297.250987954723,310.117066641186,299.308515082554,304.853218381713,311.996077490033,302.604906742939,288.467098280489,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.715344724578,299.308515082554,291.244197062262,297.578775499977,-2159.83987582651,-1561.3334863549,OUMA,Leaf.Structure
